source_id,pf,pf_error,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,radius_gspphot,ew_espels_halpha,spectraltype_esphs
5862634142964452352,3.3688083318693116,5.796718E-5,,,,,,,0.103208564,K
5862684853590560128,3.7211133179990563,1.9585116E-4,4719.7314,3.4905,0.4219,891.4639,9.1815,3.0006,,
5937186357109151744,3.0949794590851534,3.9213595E-5,,,,,,,0.16166578,F
2045359534871088384,5.571901000797259,2.5388593E-4,,,,,,,0.13288733,F
4099881605093076224,3.0834237587939186,5.280284E-4,6507.4165,3.6632,-1.0369,2424.7405,2.0603,2.668,-0.0457014,unknown
5858981084344257280,4.295780469625926,3.725269E-5,6097.9575,2.8655,-0.2781,3770.5696,3.5209,10.3037,0.15711245,unknown
5858994995644446720,4.451223165050689,2.1324257E-4,,,,,,,0.072666176,O
4064918612818383232,1.8591122315266384,3.2322676E-4,,,,,,,0.16306262,B
5322736687721935616,2.4290737072461974,7.228199E-5,,,,,,,0.020775555,F
5322875157471168768,2.044746924299155,4.4526187E-5,,,,,,,0.1891633,G
5322878146768508800,3.1846513356361497,3.2171418E-5,,,,,,,0.11307973,F
2045846103109302016,2.5097211984151353,2.7314532E-5,,,,,,,0.2453541,F
4663654817788629632,2.9715160085430092,3.0484747E-5,6341.691,3.9471,-0.096,3710.1055,0.4303,2.0193,0.12378708,G
4663664026198869376,2.6827758590197517,1.143401E-5,5585.87,3.779,-0.8087,3374.802,0.1809,1.9425,0.034852337,F
4663665946029028608,3.8228948251218156,2.343459E-4,5510.717,4.6934,-2.4603,798.8546,0.0063,0.5876,0.09085556,unknown
4663666736302057472,1.7709666014942258,1.851587E-5,5450.985,4.3055,-1.5796,2284.535,0.0092,1.0935,0.1336107,B
4663667152935024896,2.93792228973065,1.7168137E-5,6303.649,4.0178,-0.1673,3165.6335,0.5257,1.7485,-0.041225426,G
4663704605051144448,1.2858818061888029,1.3519275E-5,5974.7207,4.6577,-0.9522,3725.433,0.0049,0.6969,,
4663704845569323776,3.3369445276060055,3.6105645E-5,5556.1763,3.5205,-0.7538,4363.7603,0.1141,3.097,0.13528402,F
4663729481502388224,2.008324780998315,1.5945869E-5,6015.102,4.027,-0.6902,3044.5752,0.3052,1.4815,0.28351462,F
4663759408825250048,2.70128552094562,1.1303518E-5,5627.947,4.0823,-0.5972,3050.8008,0.0499,1.7694,0.05549448,F
4663762020165491456,3.139398824712407,1.9857562E-5,6024.1104,3.9667,0.1662,3511.656,0.3378,2.0164,0.066305496,F
4663795447881950976,1.1346416214120292,4.6171294E-6,7004.755,4.5824,-3.0899,4035.1794,0.0098,0.8262,,
4663832114034162944,1.8118982055225485,9.201309E-6,6106.7544,4.1139,-0.7044,3356.9377,0.2251,1.3345,0.052403986,F
4663875476024727680,2.891876243754171,3.05565E-5,5569.115,3.715,-0.8124,3501.0515,0.1157,2.1386,0.07275747,F
4663901211458099840,4.480678547155772,5.757949E-5,5885.1304,3.6532,0.0906,4401.4854,0.0013,3.0168,0.17073911,F
4664051638395757440,3.69043922222473,5.3718846E-5,5283.89,3.5467,-0.698,3396.416,0.0192,2.5776,0.2119715,F
